input_color,output_color
#FFF8EC,#F6F0E5
#F6F0E5,#FF1C00
#FF1C00,#0041F0
#0041F0,#21FF00
#512BD9,#7559D9
#7559D9,#A2AEF2
#A2AEF2,#6689F2
#6689F2,#D0D2D9
#D0D2D9,#512BD9
#38208C,#2E1A73
#2E1A73,#1A1940
#1A1940,#D9A918
#D9A918,#BC6FFF
#BC6FFF,#38208C
#0936DF,#0636E8
#000000,#9E0B0F
#F58220,#9E0B0F
#FDB913,#F58220
#214035,#F28A2E
#F28A2E,#8C5627
#8C5627,#8C3F23
#8C3F23,#592C22
#D95578,#F2B84B
#F2B84B,#F2AC57
#F2AC57,#F2CCB6
#F2CCB6,#D94436
#D94436,#D95578
#F29BC4,#804BF2
#804BF2,#3D9DF2
#A63348,#8C375F
#8C375F,#013440
#013440,#0396A6
#0396A6,#D94A4A
#000000,#855EA6
#855EA6,#303833
#303833,#9B9B9B
#9B9B9B,#383530
#383530,#383530
#383530,#000000
#6D6A68,#FFFFFF
#000000,#6D6A68
#000000,#B70000
#D9C484,#F2E7C4
#F2E7C4,#F2EBDC
#F2EBDC,#D9C8B4
#D9C8B4,#A69E94
#F2BBDF,#B784D9
#B784D9,#988EBF
#988EBF,#00010D
#00010D,#010D00
#57ACAD,#43DBDA
#43DBDA,#FF70A1
#FF70A1,#B35D76
#B35D76,#FFF3AD
#F2E18D,#F2CA7E
#F2CA7E,#F29849
#F29849,#F2E8DF
#F2E8DF,#F29966
#F0F0F2,#C7CFD9
#C7CFD9,#9FB0BF
#9FB0BF,#585959
#585959,#401B0E
#474F59,#0A0B0D
#0A0B0D,#202326
#202326,#929CA6
#929CA6,#F2F2F2
#F2F2F2,#BFBFBF
#BFBFBF,#8C8C8C
#8C8C8C,#404040
#404040,#262626
#262626,#F2F2F2
#F285CC,#BDBF6F
#BDBF6F,#F2E30C
#F2E30C,#F2E6D0
#F2E6D0,#0D0D0D
#FCB126,#6240AC
#6240AC,#A69834
#A69834,#4BB6C4
#4BB6C4,#1D5C14
